,country,year,CH4,CO2,mining,GHG,N20,NO,Renewable,SO2,copdDalys,prev_CH4,prev_CO2,prev_mining,prev_GHG,prev_N20,prev_NO,prev_Renewable,prev_SO2,prev_copdDalys
392,Iceland,1991_to_1992,0.419999999999998,145.86,-0.02,-88.5599999999999,-0.05,2.36,0.0300000000000011,2.39,45.700970872545,-0.100000000000001,-119.39,0.01,-216.1,-0.04,-1.29,-0.0300000000000011,-1.7,43.7776457677455
393,Iceland,1992_to_1993,0.670000000000002,157.89,0,87.9099999999999,0.02,1.7,0.019999999999996,0.0400000000000027,32.9451318529207,0.419999999999998,145.86,-0.02,-88.5599999999999,-0.05,2.36,0.0300000000000011,2.39,45.700970872545
394,Iceland,1993_to_1994,0.370000000000001,-58.8599999999997,-0.05,-81.5799999999999,0.01,-0.669999999999995,0.0100000000000051,-1.41,48.6715055499183,0.670000000000002,157.89,0,87.9099999999999,0.02,1.7,0.019999999999996,0.0400000000000027,32.9451318529207
395,Iceland,1994_to_1995,0.0700000000000003,103.4,0.00999999999999998,116.5,-0.02,1.37,-0.0800000000000125,-1.11,48.2549573685828,0.370000000000001,-58.8599999999997,-0.05,-81.5799999999999,0.01,-0.669999999999995,0.0100000000000051,-1.41,48.6715055499183
396,Iceland,1995_to_1996,0.829999999999998,55.3400000000001,-0.02,58.52,0.05,0.490000000000002,0.0800000000000125,2.47,50.2077510951192,0.0700000000000003,103.4,0.00999999999999998,116.5,-0.02,1.37,-0.0800000000000125,-1.11,48.2549573685828
397,Iceland,1996_to_1997,0.199999999999999,95.4700000000003,0.01,167.26,-0.02,-0.32,0.0300000000000011,0.0199999999999996,39.0212374006867,0.829999999999998,55.3400000000001,-0.02,58.52,0.05,0.490000000000002,0.0800000000000125,2.47,50.2077510951192
398,Iceland,1997_to_1998,0.0300000000000011,20.3499999999999,-0.04,145.2,-0.01,-1.17,-0.0100000000000051,-0.289999999999999,48.4285995322682,0.199999999999999,95.4700000000003,0.01,167.26,-0.02,-0.32,0.0300000000000011,0.0199999999999996,39.0212374006867
399,Iceland,1998_to_1999,0.32,206.09,0,225.94,0.03,-0.280000000000001,0.0100000000000051,8.07,19.0674463455125,0.0300000000000011,20.3499999999999,-0.04,145.2,-0.01,-1.17,-0.0100000000000051,-0.289999999999999,48.4285995322682
400,Iceland,1999_to_2000,-0.0199999999999996,92.52,-0.04,23.0900000000001,-0.0700000000000001,-0.489999999999995,0,6.26000000000001,-0.359026667486205,0.32,206.09,0,225.94,0.03,-0.280000000000001,0.0100000000000051,8.07,19.0674463455125
401,Iceland,2000_to_2001,0.460000000000001,-71.23,0.02,-109.53,-0.02,-3.55,0.019999999999996,2.95,25.0017640718293,-0.0199999999999996,92.52,-0.04,23.0900000000001,-0.0700000000000001,-0.489999999999995,0,6.26000000000001,-0.359026667486205
402,Iceland,2001_to_2002,0.259999999999998,125.28,-0.02,91.5999999999999,-0.0799999999999998,2.17,-0.019999999999996,3.21,49.9346204576473,0.460000000000001,-71.23,0.02,-109.53,-0.02,-3.55,0.019999999999996,2.95,25.0017640718293
403,Iceland,2002_to_2003,-0.390000000000001,-5.9699999999998,0.01,-40.4200000000001,-0.03,-0.59,0,-3.48,22.8078780684773,0.259999999999998,125.28,-0.02,91.5999999999999,-0.0799999999999998,2.17,-0.019999999999996,3.21,49.9346204576473
404,Iceland,2003_to_2004,-0.140000000000001,122.34,0,98.6400000000003,0,0.969999999999999,0,-5.15000000000001,16.2263884394329,-0.390000000000001,-5.9699999999998,0.01,-40.4200000000001,-0.03,-0.59,0,-3.48,22.8078780684773
405,Iceland,2004_to_2005,-0.5,-130.92,-0.03,-151.88,0.01,-3.44,-0.0300000000000011,6.21,42.3475796955036,-0.140000000000001,122.34,0,98.6400000000003,0,0.969999999999999,0,-5.15000000000001,16.2263884394329
406,Iceland,2005_to_2006,1.45,178.43,0,588.83,0.03,-0.43,0.039999999999992,-0.149999999999999,38.5101301294903,-0.5,-130.92,-0.03,-151.88,0.01,-3.44,-0.0300000000000011,6.21,42.3475796955036
407,Iceland,2006_to_2007,0.259999999999998,347.7,0.01,298.77,0.04,2.6,0.0300000000000011,18.1,37.0001250554305,1.45,178.43,0,588.83,0.03,-0.43,0.039999999999992,-0.149999999999999,38.5101301294903
408,Iceland,2007_to_2008,-0.550000000000001,312.84,0.02,395.849999999999,0.0299999999999998,-2.38,0.019999999999996,16.9,13.5206867378315,0.259999999999998,347.7,0.01,298.77,0.04,2.6,0.0300000000000011,18.1,37.0001250554305
409,Iceland,2008_to_2009,-0.359999999999999,-84.7600000000002,-0.08,-337.309999999999,-0.0899999999999999,-0.170000000000002,0,-5.56,29.9367140891891,-0.550000000000001,312.84,0.02,395.849999999999,0.0299999999999998,-2.38,0.019999999999996,16.9,13.5206867378315
410,Iceland,2009_to_2010,-0.43,-80.0599999999999,0.01,-76.6800000000003,-0.03,-1.55,0,9.96000000000001,16.9481443226441,-0.359999999999999,-84.7600000000002,-0.08,-337.309999999999,-0.0899999999999999,-0.170000000000002,0,-5.56,29.9367140891891
